Strain	index	parent_compound	pval	hit	Oxygen	Type
P-03	M_MMF_9	Mycophenolate Mofetil	5.87086155163267e-4	TRUE	AA	C
C910	M_MMF_9	Mycophenolate Mofetil	1	FALSE	AA	C
P-04	M_MMF_9	Mycophenolate Mofetil	2.5323740303053783e-4	TRUE	AA	C
T-03	M_MMF_9	Mycophenolate Mofetil	0.0027788827134237076	TRUE	AA	C
A-10	M_MMF_9	Mycophenolate Mofetil	9.897347221088425e-4	TRUE	AA	C
C911	M_MMF_9	Mycophenolate Mofetil	1	FALSE	AA	C
A-01	M_RANITIDINE_8	Ranitidine	1	FALSE	AA	C
A-02	M_RANITIDINE_8	Ranitidine	3.2105522111465496e-4	TRUE	AA	C
A-03	M_RANITIDINE_8	Ranitidine	0.0011278346044137585	TRUE	AA	C
A-04	M_RANITIDINE_8	Ranitidine	0.010531699464604468	TRUE	AA	C
A-05	M_RANITIDINE_8	Ranitidine	1	FALSE	AA	C
C901	M_RANITIDINE_8	Ranitidine	1	FALSE	AA	C
T-01	M_RANITIDINE_8	Ranitidine	0.2969238416084808	FALSE	AA	C
T-02	M_RANITIDINE_8	Ranitidine	0.1817328304078223	FALSE	AA	C
P-01	M_RANITIDINE_8	Ranitidine	5.5387264502921305e-5	TRUE	AA	C
P-02	M_RANITIDINE_8	Ranitidine	4.71989886399273e-5	TRUE	AA	C
P-03	M_RANITIDINE_8	Ranitidine	2.1014282580152348e-4	TRUE	AA	C
C910	M_RANITIDINE_8	Ranitidine	1	FALSE	AA	C
P-04	M_RANITIDINE_8	Ranitidine	1	FALSE	AA	C
T-03	M_RANITIDINE_8	Ranitidine	0.22100837318927422	FALSE	AA	C
T-04	M_RANITIDINE_8	Ranitidine	0.587968498330715	FALSE	AA	C
A-10	M_RANITIDINE_8	Ranitidine	0.2831760968487404	FALSE	AA	C
T-05	M_RANITIDINE_8	Ranitidine	0.1817328304078223	FALSE	AA	C
C911	M_RANITIDINE_8	Ranitidine	1	FALSE	AA	C
A-06	M_RANITIDINE_8	Ranitidine	0.010262729011243924	TRUE	AA	C
A-07	M_RANITIDINE_8	Ranitidine	1	FALSE	AA	C
A-08	M_RANITIDINE_8	Ranitidine	0.7665363571321739	FALSE	AA	C
A-09	M_RANITIDINE_8	Ranitidine	9.472600472090551e-4	TRUE	AA	C
C902	M_RANITIDINE_8	Ranitidine	1	FALSE	AA	C
A-01	M_DILTIAZEM_2	Diltiazem	1.3714692873527452e-6	TRUE	AA	C
A-02	M_DILTIAZEM_2	Diltiazem	1.2383032325637757e-6	TRUE	AA	C
A-03	M_DILTIAZEM_2	Diltiazem	2.5582422511929185e-6	TRUE	AA	C
A-04	M_DILTIAZEM_2	Diltiazem	1.665283670396999e-6	TRUE	AA	C
A-05	M_DILTIAZEM_2	Diltiazem	0.011937087989804238	TRUE	AA	C
C901	M_DILTIAZEM_2	Diltiazem	1	FALSE	AA	C
T-01	M_DILTIAZEM_2	Diltiazem	1	FALSE	AA	C
T-02	M_DILTIAZEM_2	Diltiazem	0.1737039763358108	FALSE	AA	C
P-01	M_DILTIAZEM_2	Diltiazem	6.089789628513818e-7	TRUE	AA	C
P-02	M_DILTIAZEM_2	Diltiazem	3.226747944691231e-6	TRUE	AA	C
P-03	M_DILTIAZEM_2	Diltiazem	2.864028885168927e-5	TRUE	AA	C
C910	M_DILTIAZEM_2	Diltiazem	1	FALSE	AA	C
P-04	M_DILTIAZEM_2	Diltiazem	0.872880322316347	FALSE	AA	C
T-03	M_DILTIAZEM_2	Diltiazem	0.2573423348289832	FALSE	AA	C
T-04	M_DILTIAZEM_2	Diltiazem	0.18773861855623847	FALSE	AA	C
A-10	M_DILTIAZEM_2	Diltiazem	0.5009556619616317	FALSE	AA	C
T-05	M_DILTIAZEM_2	Diltiazem	0.05661906547074033	FALSE	AA	C
C911	M_DILTIAZEM_2	Diltiazem	1	FALSE	AA	C
A-06	M_DILTIAZEM_2	Diltiazem	5.823620583762361e-39	TRUE	AA	C
A-07	M_DILTIAZEM_2	Diltiazem	7.505576328528831e-71	TRUE	AA	C
A-08	M_DILTIAZEM_2	Diltiazem	1.9033987018438256e-8	TRUE	AA	C
A-09	M_DILTIAZEM_2	Diltiazem	9.872155088567029e-8	TRUE	AA	C
C902	M_DILTIAZEM_2	Diltiazem	1	FALSE	AA	C
A-01	M_EVEROLIMUS_1	Everolimus	0.15790081827279803	FALSE	AA	C
A-02	M_EVEROLIMUS_1	Everolimus	7.403564741801148e-4	TRUE	AA	C
A-03	M_EVEROLIMUS_1	Everolimus	8.731136322695805e-7	TRUE	AA	C
A-04	M_EVEROLIMUS_1	Everolimus	1.885078782996808e-9	TRUE	AA	C
A-05	M_EVEROLIMUS_1	Everolimus	0.010550450836800474	TRUE	AA	C
C901	M_EVEROLIMUS_1	Everolimus	1	FALSE	AA	C
A-06	M_EVEROLIMUS_1	Everolimus	1.2977883581452533e-12	TRUE	AA	C
A-07	M_EVEROLIMUS_1	Everolimus	1.186314128158928e-12	TRUE	AA	C
A-08	M_EVEROLIMUS_1	Everolimus	2.1794503979814857e-13	TRUE	AA	C
A-09	M_EVEROLIMUS_1	Everolimus	3.624615761080994e-13	TRUE	AA	C
C902	M_EVEROLIMUS_1	Everolimus	1	FALSE	AA	C
T-01	M_EVEROLIMUS_1	Everolimus	1	FALSE	AA	C
T-02	M_EVEROLIMUS_1	Everolimus	0.359502296095874	FALSE	AA	C
P-01	M_EVEROLIMUS_1	Everolimus	1	FALSE	AA	C
P-02	M_EVEROLIMUS_1	Everolimus	0.16603272440498895	FALSE	AA	C
P-03	M_EVEROLIMUS_1	Everolimus	0.1867748994288402	FALSE	AA	C
C910	M_EVEROLIMUS_1	Everolimus	1	FALSE	AA	C
P-04	M_EVEROLIMUS_1	Everolimus	0.8212843571488319	FALSE	AA	C
T-03	M_EVEROLIMUS_1	Everolimus	0.6150914638839143	FALSE	AA	C
T-04	M_EVEROLIMUS_1	Everolimus	0.5868603273229892	FALSE	AA	C
A-10	M_EVEROLIMUS_1	Everolimus	0.044886830452251336	TRUE	AA	C
T-05	M_EVEROLIMUS_1	Everolimus	0.9882656374469484	FALSE	AA	C
C911	M_EVEROLIMUS_1	Everolimus	1	FALSE	AA	C
