Strain	index	parent_compound	pval	hit	Oxygen	Type
A-04	M_MMF_9	Mycophenolate Mofetil	0.3733201055048475	FALSE	MA	C
A-05	M_MMF_9	Mycophenolate Mofetil	0.34508558692132024	FALSE	MA	C
C906	M_MMF_9	Mycophenolate Mofetil	1	FALSE	MA	C
A-06	M_RANITIDINE_8	Ranitidine	2.3702389879280227e-6	TRUE	MA	C
A-07	M_RANITIDINE_8	Ranitidine	2.0501263425009883e-5	TRUE	MA	C
A-08	M_RANITIDINE_8	Ranitidine	4.3255201307606513e-4	TRUE	MA	C
A-09	M_RANITIDINE_8	Ranitidine	6.849128546047925e-6	TRUE	MA	C
C907	M_RANITIDINE_8	Ranitidine	1	FALSE	MA	C
T-01	M_RANITIDINE_8	Ranitidine	1	FALSE	MA	C
T-02	M_RANITIDINE_8	Ranitidine	0.30614787932795096	FALSE	MA	C
P-01	M_RANITIDINE_8	Ranitidine	0.005407228768198267	TRUE	MA	C
P-02	M_RANITIDINE_8	Ranitidine	0.834182077318991	FALSE	MA	C
P-03	M_RANITIDINE_8	Ranitidine	0.579300078544732	FALSE	MA	C
C908	M_RANITIDINE_8	Ranitidine	1	FALSE	MA	C
P-04	M_RANITIDINE_8	Ranitidine	0.5747375945846289	FALSE	MA	C
T-03	M_RANITIDINE_8	Ranitidine	1	FALSE	MA	C
T-04	M_RANITIDINE_8	Ranitidine	1	FALSE	MA	C
A-10	M_RANITIDINE_8	Ranitidine	0.7803588938653623	FALSE	MA	C
T-05	M_RANITIDINE_8	Ranitidine	1	FALSE	MA	C
C909	M_RANITIDINE_8	Ranitidine	1	FALSE	MA	C
A-01	M_RANITIDINE_8	Ranitidine	1	FALSE	MA	C
A-02	M_RANITIDINE_8	Ranitidine	0.0023648838905141905	TRUE	MA	C
A-03	M_RANITIDINE_8	Ranitidine	1	FALSE	MA	C
A-04	M_RANITIDINE_8	Ranitidine	0.008990281812706582	TRUE	MA	C
A-05	M_RANITIDINE_8	Ranitidine	1	FALSE	MA	C
C906	M_RANITIDINE_8	Ranitidine	1	FALSE	MA	C
A-06	M_DILTIAZEM_2	Diltiazem	5.8144889182991914e-126	TRUE	MA	C
A-07	M_DILTIAZEM_2	Diltiazem	2.5418621001493857e-154	TRUE	MA	C
A-08	M_DILTIAZEM_2	Diltiazem	3.449880491514375e-92	TRUE	MA	C
A-09	M_DILTIAZEM_2	Diltiazem	8.284385581124543e-76	TRUE	MA	C
C907	M_DILTIAZEM_2	Diltiazem	1	FALSE	MA	C
T-01	M_DILTIAZEM_2	Diltiazem	3.4585295019443054e-53	TRUE	MA	C
T-02	M_DILTIAZEM_2	Diltiazem	1.0232039460309213e-4	TRUE	MA	C
P-01	M_DILTIAZEM_2	Diltiazem	1.489193311585063e-17	TRUE	MA	C
P-02	M_DILTIAZEM_2	Diltiazem	0.008323761022798144	TRUE	MA	C
P-03	M_DILTIAZEM_2	Diltiazem	0.002861940305848853	TRUE	MA	C
C908	M_DILTIAZEM_2	Diltiazem	1	FALSE	MA	C
P-04	M_DILTIAZEM_2	Diltiazem	0.2116976678404898	FALSE	MA	C
T-03	M_DILTIAZEM_2	Diltiazem	0.596524051910019	FALSE	MA	C
T-04	M_DILTIAZEM_2	Diltiazem	0.9444027624687453	FALSE	MA	C
A-10	M_DILTIAZEM_2	Diltiazem	2.4085039497436498e-4	TRUE	MA	C
T-05	M_DILTIAZEM_2	Diltiazem	8.579219815482598e-9	TRUE	MA	C
C909	M_DILTIAZEM_2	Diltiazem	1	FALSE	MA	C
A-01	M_DILTIAZEM_2	Diltiazem	5.95898448552842e-7	TRUE	MA	C
A-02	M_DILTIAZEM_2	Diltiazem	1.2185888647396968e-13	TRUE	MA	C
A-03	M_DILTIAZEM_2	Diltiazem	1.6188308394255547e-6	TRUE	MA	C
A-04	M_DILTIAZEM_2	Diltiazem	4.574092749697296e-14	TRUE	MA	C
A-05	M_DILTIAZEM_2	Diltiazem	0.035370887109634416	TRUE	MA	C
C906	M_DILTIAZEM_2	Diltiazem	1	FALSE	MA	C
A-06	M_EVEROLIMUS_1	Everolimus	5.559708616090046e-4	TRUE	MA	C
A-07	M_EVEROLIMUS_1	Everolimus	2.2516140173953222e-4	TRUE	MA	C
A-08	M_EVEROLIMUS_1	Everolimus	5.946900917631753e-7	TRUE	MA	C
A-09	M_EVEROLIMUS_1	Everolimus	1.8431991391925439e-6	TRUE	MA	C
C907	M_EVEROLIMUS_1	Everolimus	1	FALSE	MA	C
T-01	M_EVEROLIMUS_1	Everolimus	1	FALSE	MA	C
T-02	M_EVEROLIMUS_1	Everolimus	0.985593156961579	FALSE	MA	C
P-01	M_EVEROLIMUS_1	Everolimus	0.7535580229428497	FALSE	MA	C
P-02	M_EVEROLIMUS_1	Everolimus	0.8987177578693909	FALSE	MA	C
P-03	M_EVEROLIMUS_1	Everolimus	0.6123306351539215	FALSE	MA	C
C908	M_EVEROLIMUS_1	Everolimus	1	FALSE	MA	C
P-04	M_EVEROLIMUS_1	Everolimus	0.3016354075579806	FALSE	MA	C
T-03	M_EVEROLIMUS_1	Everolimus	1	FALSE	MA	C
T-04	M_EVEROLIMUS_1	Everolimus	1	FALSE	MA	C
A-10	M_EVEROLIMUS_1	Everolimus	1	FALSE	MA	C
T-05	M_EVEROLIMUS_1	Everolimus	0.33172554740533666	FALSE	MA	C
C909	M_EVEROLIMUS_1	Everolimus	1	FALSE	MA	C
A-01	M_EVEROLIMUS_1	Everolimus	1	FALSE	MA	C
A-02	M_EVEROLIMUS_1	Everolimus	7.304730147440423e-6	TRUE	MA	C
A-03	M_EVEROLIMUS_1	Everolimus	1	FALSE	MA	C
A-04	M_EVEROLIMUS_1	Everolimus	0.005903239137438567	TRUE	MA	C
A-05	M_EVEROLIMUS_1	Everolimus	1	FALSE	MA	C
C906	M_EVEROLIMUS_1	Everolimus	1	FALSE	MA	C
